RideID,LatOrigem,LongOrigem,LatDestino,LongDestino,Distancia_KM,Estimatives
1183210,-241.270.621,-46.699.635.099.999.900,-24.004.227,-4.642.962.279.999.990,33.07,"{'Flash': 46.0, 'Comfort': 67.0, 'UberX': 46.0, 'pop99': 53.23}"
1183211,-23.743.931.699.999.900,-466.083.953,-236.896.422,-4.659.155.519.999.990,14.78,"{'poupa99': 40.43, 'pop99': 40.43, 'turbo-taxi': 42.3, 'regular-taxi': 42.3, 'UberX': 27.5, 'Comfort': 40.0, 'Flash': 27.5, 'Uber Promo': 23.0}"
1183212,-59.310.541,-352.637.632,-59.373.051,-352.657.882,2.87,"{'Flash': 8.5, 'UberX': 8.5, 'Comfort': 13.0, 'pop99': 6.35}"
1183213,-239.624.233,-4.625.465.759.999.990,-238.373.074,-461.321.725,33.96,"{'pop99': 63.69, 'turbo-taxi': 118.16, 'regular-taxi': 138.95, 'Flash': 47.5, 'Comfort': 68.5, 'UberX': 47.5}"
1183214,-20.559.277.599.999.900,-546.231.586,-204.786.441,-546.261.535,13.22,"{'Flash': 38.5, 'poupa99': 18.1, 'turbo-taxi': 44.77, 'regular-taxi': 44.77, 'UberX': 38.5, 'Comfort': 38.0, 'pop99': 18.1}"
1183215,-59.310.541,-352.637.632,-59.373.051,-352.657.882,2.87,"{'pop99': 6.35, 'Flash': 7.0, 'Comfort': 11.5, 'UberX': 7.5}"
1183216,-28.432.672.099.999.900,-489.520.941,-284.793.539,-490.013.667,8.21,{'pop99': 16.34}
1183217,-25.501.519,-49.540.435.699.999.900,-254.543.686,-4.928.875.729.999.990,33.7,"{'pop99': 63.45, 'regular-taxi': 146.88, 'Flash': 59.0, 'UberX': 59.0, 'poupa99': 54.52}"
1183218,-2.359.405,-46.419.408,-235.745.135,-4.657.126.290.000.000,24.61,"{'UberX': 42.0, 'Flash': 39.0, 'Bag': 57.0, 'poupa99': 47.1, 'pop99': 51.56, 'turbo-taxi': 83.31, 'regular-taxi': 83.31, 'Uber Promo': 36.0}"
1183219,-235.542.807,-46.662.731.799.999.900,-237.342.905,-466.986.279,27.14,"{'WPP-42-1': 72.38, 'WPP-1-1': 89.55, 'WPP-5-5': 89.55, 'Uber Promo': 40.0, 'UberX': 47.0, 'Comfort': 72.0, 'Flash': 43.0, 'Black': 107.5, 'Bag': 59.0, 'Black Bag': 129.0, 'Taxi': 88.0, 'WPP-7-6': 51.89}"
1183220,-232.233.606,-458.939.987,-231.712.453,-458.920.635,7.21,"{'pop99': 14.24, 'turbo-taxi': 43.42, 'regular-taxi': 43.42, 'Flash': 12.5, 'Flash Moto': 9.5, 'Comfort': 17.5, 'UberX': 12.5}"
1183221,-23.708.786,-465.267.639,-237.047.254,-466.175.221,13.02,"{'poupa99': 31.98, 'turbo-taxi': 57.46, 'regular-taxi': 57.46, 'Uber Promo': 42.0, 'UberX': 49.5, 'Comfort': 74.5, 'Flash': 49.5, 'Black': 48.0, 'Bag': 69.5, 'pop99': 31.98}"
1183222,-19.793.302.999.999.900,-43.924.078,-197.657.566,-438.497.696,12.49,"{'poupa99': 48.38, 'pop99': 48.38, 'turbo-taxi': 53.11, 'regular-taxi': 53.11, 'Comfort': 32.5, 'UberFlash': 29.5, 'UberX': 29.5}"
1183223,-160.386.142,-480.188.949,-16.068.436,-479.852.555,10.12,"{'poupa99': 17.74, 'pop99': 17.74, 'turbo-taxi': 32.47, 'regular-taxi': 40.57, 'Comfort': 22.0, 'Flash': 16.0, 'Black': 35.0, 'Bag': 26.0, 'UberX': 16.0}"
1183224,-227.786.199,-433.193.931,-227.923.134,-43.3,4.24,"{'poupa99': 10.76, 'pop99': 10.76, 'turbo-taxi': 18.16, 'regular-taxi': 18.16, 'Comfort': 13.5, 'UberFlash': 10.5, 'Black': 16.5, 'UberX': 10.5}"
1183225,-237.088.701,-46.526.664,-237.047.254,-466.175.221,13.03,"{'UberX': 48.5, 'poupa99': 33.84, 'pop99': 33.84, 'Comfort': 73.5, 'turbo-taxi': 60.63, 'Flash': 48.5, 'regular-taxi': 60.63, 'Black': 47.0, 'Bag': 68.0, 'Black Bag': 58.0, 'Uber Promo': 41.0}"
1183226,-160.386.142,-480.188.949,-16.068.436,-479.852.555,10.12,"{'UberX': 16.0, 'Comfort': 22.0, 'Flash': 16.0, 'Black': 35.0, 'Bag': 26.0, 'poupa99': 68.64, 'pop99': 68.64, 'regular-taxi': 40.57, 'turbo-taxi': 32.47}"
1183227,-275.662.235,-48.646.700.499.999.900,-27.503.227,-486.503.876,10.31,"{'poupa99': 30.25, 'pop99': 30.25, 'turbo-taxi': 31.3, 'regular-taxi': 34.78, 'Flash': 20.0, 'Comfort': 23.0, 'UberX': 20.0}"
1183228,-29.889.357.200.000.000,-511.300.939,-298.298.392,-5.116.006.849.999.990,15.92,"{'poupa99': 17.28, 'pop99': 19.16, 'turbo-taxi': 29.4, 'regular-taxi': 41.99, 'UberFlash': 17.0, 'Comfort': 24.5, 'Black': 44.5, 'UberX': 17.0}"
1183230,-300.722.105,-51.222.451.299.999.900,-301.216.167,-5.122.001.179.999.990,8.1,"{'poupa99': 14.39, 'turbo-taxi': 26.31, 'regular-taxi': 37.57, 'UberFlash': 15.5, 'UberX': 15.5, 'Comfort': 23.0, 'Black': 37.0, 'pop99': 14.39}"
1183231,-234.311.144,-467.509.543,-234.852.031,-466.816.634,29.45,"{'turbo-taxi': 61.69, 'top99': 61.69, 'regular-taxi': 61.69, 'UberX': 58.0, 'Flash': 54.5, 'pop99': 34.43}"
1183232,-300.722.105,-51.222.451.299.999.900,-301.216.167,-5.122.001.179.999.990,8.1,"{'poupa99': 16.49, 'pop99': 16.49, 'turbo-taxi': 26.31, 'regular-taxi': 37.57, 'UberFlash': 15.5, 'Comfort': 23.0, 'Black': 37.0, 'UberX': 15.5}"
1183233,-228.343.556,-434.127.084,-229.973.007,-433.625.245,29.68,"{'poupa99': 90.25, 'pop99': 90.25, 'turbo-taxi': 106.34, 'regular-taxi': 106.34, 'Comfort': 117.5, 'UberFlash': 69.0, 'Black': 97.5, 'UberX': 69.0}"
1183234,-270.144.754,-486.312.621,-269.294.639,-486.447.862,11.2,"{'Uber Flash': 36.5, 'UberX': 36.5, 'pop99': 21.15, 'Comfort': 57.5, 'turbo-taxi': 69.8, 'regular-taxi': 69.8, 'poupa99': 17.51}"
1183235,-23.501.896.799.999.900,-463.913.987,-23.537.527,-462.953.758,13.72,"{'poupa99': 28.9, 'UberX': 29.5, 'pop99': 31.95, 'Comfort': 42.0, 'turbo-taxi': 61.69, 'Flash': 27.5, 'regular-taxi': 61.69, 'Black': 51.5, 'Bag': 40.0, 'Uber Promo': 25.5}"
1183236,-232.171.344,-468.667.113,-232.078.352,-468.592.323,1.86,"{'poupa99': 14.7, 'pop99': 14.7, 'turbo-taxi': 13.16, 'regular-taxi': 13.16, 'Flash': 8.5, 'Comfort': 9.5, 'UberX': 8.5}"
1183237,-239.624.233,-4.625.465.759.999.990,-238.373.074,-461.321.725,33.96,"{'turbo-taxi': 111.58, 'regular-taxi': 139.36, 'Flash': 47.5, 'Comfort': 68.5, 'UberX': 47.5, 'Bag': 56.5, 'pop99': 63.92}"
1183238,-292.156.093,-511.970.794,-291.966.998,-5.124.148.329.999.990,12.27,"{'pop99': 21.97, 'turbo-taxi': 37.96, 'regular-taxi': 40.14, 'Uber Flash': 20.0, 'UberX': 20.0}"
1183239,-23.501.951.599.999.900,-463.914.371,-23.537.527,-462.953.758,13.72,"{'pop99': 31.96, 'turbo-taxi': 60.75, 'regular-taxi': 60.75, 'Uber Promo': 25.5, 'UberX': 29.5, 'Comfort': 42.0, 'Flash': 27.5, 'Black': 51.5, 'Bag': 40.0, 'poupa99': 28.91}"
1183240,-239.624.233,-4.625.465.759.999.990,-238.373.074,-461.321.725,33.96,"{'pop99': 63.92, 'turbo-taxi': 111.58, 'regular-taxi': 139.36, 'Flash': 47.5, 'Comfort': 68.5, 'Bag': 56.5, 'UberX': 47.5}"
1183241,-255.522.404,-492.445.522,-254.431.072,-492.734.105,20.83,"{'poupa99': 64.22, 'pop99': 64.22, 'turbo-taxi': 47.57, 'regular-taxi': 59.46, 'Flash': 35.5, 'Comfort': 41.0, 'UberX': 35.5}"
1183242,-239.626.275,-463.798.768,-239.995.852,-464.044.636,07.03,"{'pop99': 16.81, 'turbo-taxi': 30.55, 'regular-taxi': 38.19, 'Flash': 16.5, 'Comfort': 20.0, 'UberX': 16.5, 'Bag': 20.0, 'poupa99': 14.81}"
1183243,-1.979.330.299.999.990,-43.924.078,-197.657.566,-438.497.696,12.49,"{'UberX': 27.0, 'UberFlash': 27.0, 'poupa99': 30.27, 'turbo-taxi': 53.11, 'regular-taxi': 53.11, 'pop99': 30.27}"
1183244,-232.171.344,-468.667.113,-232.078.352,-468.592.323,1.86,"{'Flash': 8.5, 'Comfort': 9.5, 'UberX': 8.5, 'poupa99': 14.8, 'pop99': 14.8, 'turbo-taxi': 13.16, 'regular-taxi': 13.16}"
1183245,-239.624.233,-4.625.465.759.999.990,-238.373.074,-461.321.725,33.96,"{'turbo-taxi': 111.58, 'regular-taxi': 139.36, 'Flash': 47.5, 'Comfort': 68.5, 'UberX': 47.5, 'Bag': 56.5, 'pop99': 63.92}"
1183246,-204.972.019,-54.647.267,-204.795.462,-546.103.764,5.91,"{'pop99': 11.13, 'turbo-taxi': 23.48, 'regular-taxi': 26.09, 'Flash': 12.0, 'UberX': 12.0, 'Comfort': 16.5, 'Uber Promo': 9.0}"
1183247,-23.501.597,-46.446.407,-235.627.779,-465.915.855,27.32,"{'poupa99': 56.72, 'pop99': 62.59, 'turbo-taxi': 93.65, 'regular-taxi': 93.65, 'UberX': 52.5, 'Comfort': 74.5, 'Flash': 48.5, 'Black': 91.5, 'Bag': 70.0, 'Black Bag': 110.0, 'Uber Promo': 45.0}"
1183248,-232.171.344,-468.667.113,-232.078.352,-468.592.323,1.86,"{'Flash': 8.5, 'Comfort': 9.5, 'poupa99': 14.8, 'pop99': 14.8, 'turbo-taxi': 13.16, 'regular-taxi': 13.16, 'UberX': 8.5}"
1183250,-22.689.376,-43.254.498.999.999.900,-227.769.786,-433.614.014,26.11,"{'pop99': 42.89, 'turbo-taxi': 81.25, 'regular-taxi': 81.25, 'UberX': 73.5, 'Comfort': 117.5, 'UberFlash': 73.5, 'Black': 82.0, 'poupa99': 37.49}"
1183251,-239.624.233,-4.625.465.759.999.990,-238.373.074,-461.321.725,33.96,"{'Flash': 47.5, 'Comfort': 68.5, 'pop99': 63.92, 'turbo-taxi': 111.58, 'regular-taxi': 139.36, 'UberX': 47.5}"
1183252,-158.157.808,-480.908.627,-158.212.119,-480.615.551,5.23,"{'poupa99': 18.07, 'turbo-taxi': 19.38, 'regular-taxi': 24.22, 'UberX': 21.0, 'Flash': 22.0, 'Black': 23.5, 'Bag': 30.5, 'pop99': 18.07}"
1183253,-228.818.491,-4.307.927.249.999.990,-228.206.436,-4.299.990.640.000.000,12.16,"{'pop99': 18.92, 'turbo-taxi': 45.83, 'regular-taxi': 46.0, 'UberX': 20.0, 'Comfort': 29.5, 'UberFlash': 20.0, 'Black': 39.5, 'poupa99': 14.1}"
1183254,-158.157.808,-480.908.627,-158.212.119,-480.615.551,5.23,"{'poupa99': 17.02, 'pop99': 17.02, 'turbo-taxi': 19.38, 'regular-taxi': 24.22, 'Flash': 22.0, 'Black': 23.5, 'Bag': 30.5, 'UberX': 21.0}"
1183255,-23.186.458.500.000.000,-45.886.088.799.999.900,-231.898.339,-458.738.976,2.44,"{'pop99': 6.41, 'turbo-taxi': 18.33, 'regular-taxi': 18.33, 'Flash': 5.0, 'Comfort': 9.5, 'UberX': 5.0}"
1183256,-239.624.233,-4.625.465.759.999.990,-238.373.074,-461.321.725,33.96,"{'Flash': 47.5, 'Comfort': 68.5, 'UberX': 47.5, 'turbo-taxi': 111.58, 'regular-taxi': 139.36, 'pop99': 63.92}"
1183257,-23.486.895,-466.479.623,-235.042.667,-466.877.784,5.34,"{'poupa99': 16.23, 'pop99': 16.23, 'turbo-taxi': 34.43, 'regular-taxi': 34.43, 'UberX': 29.5, 'Flash': 28.5, 'Bag': 41.0, 'Black': 27.5}"
1183258,-255.522.404,-492.445.522,-254.431.072,-492.734.105,20.83,"{'poupa99': 64.62, 'pop99': 64.62, 'regular-taxi': 58.99, 'Flash': 35.5, 'UberX': 35.5, 'Comfort': 41.0, 'turbo-taxi': 47.19}"
1183259,-236.754.917,-466.526.757,-234.753.983,-4.677.725.979.999.990,34.33,"{'poupa99': 60.3, 'turbo-taxi': 131.25, 'regular-taxi': 131.25, 'Uber Promo': 67.5, 'UberX': 79.0, 'Comfort': 108.0, 'Flash': 73.5, 'Bag': 103.0, 'pop99': 60.3}"
1183260,-228.729.709,-43.450.041.299.999.900,-228.858.806,-434.757.166,4.94,"{'Comfort': 12.5, 'UberFlash': 9.5, 'Black': 17.0, 'poupa99': 11.75, 'pop99': 11.75, 'turbo-taxi': 23.8, 'regular-taxi': 23.8, 'UberX': 9.5}"
1183261,-239.624.233,-4.625.465.759.999.990,-238.373.074,-461.321.725,33.96,"{'pop99': 64.04, 'turbo-taxi': 111.96, 'regular-taxi': 139.77, 'Flash': 47.5, 'Comfort': 68.5, 'UberX': 47.5}"
1183262,-167.021.696,-491.215.719,-167.140.366,-492.573.611,19.73,"{'Flash': 34.0, 'UberX': 34.0, 'Comfort': 43.0, 'pop99': 33.14}"
1183263,-12.293.636.999.999.900,-38.945.706,-122.331.072,-389.735.435,11.97,"{'pop99': 36.96, 'turbo-taxi': 58.4, 'regular-taxi': 58.4, 'Uber Flash': 21.0, 'Comfort': 37.5, 'UberX': 21.0}"
1183264,-211.476.011,-47.808.096,-211.371.266,-47.837.096,4.88,"{'Uber Flash': 11.5, 'Comfort': 15.5, 'poupa99': 11.75, 'pop99': 11.75, 'turbo-taxi': 17.98, 'regular-taxi': 25.62, 'UberX': 11.5}"
1183265,-220.593.413,-47.918.286.099.999.900,-219.792.596,-4.792.974.659.999.990,22.43,"{'pop99': 32.09, 'turbo-taxi': 63.04, 'regular-taxi': 63.04, 'Uber Flash': 21.0, 'Comfort': 27.5, 'UberX': 15.0}"
1183266,-320.597.392,-52.159.437,-32.040.024,-520.999.737,6.79,"{'Uber Flash': 14.0, 'pop99': 15.63, 'UberX': 14.0}"
1183267,-13.394.336,-483.865.873,-13.667.539,-483.677.518,6.12,"{'Flash': 16.0, 'pop99': 17.51, 'turbo-taxi': 26.73, 'regular-taxi': 33.41, 'UberX': 16.0}"
1183268,-239.624.233,-4.625.465.759.999.990,-23.989.774,-46.289.029,7.58,"{'turbo-taxi': 29.99, 'regular-taxi': 37.78, 'Flash': 16.5, 'Comfort': 20.0, 'UberX': 16.5, 'pop99': 16.69}"
1183269,-237.057.471,-454.509.047,-236.232.667,-454.130.507,16.56,"{'Flash': 31.5, 'UberX': 31.5, 'pop99': 25.73}"
1183270,-22.810.214,-43.403.851.499.999.900,-229.221.399,-432.493.486,35.49,"{'pop99': 53.82, 'turbo-taxi': 114.25, 'regular-taxi': 98.62, 'UberX': 56.5, 'Comfort': 90.0, 'UberFlash': 56.5, 'Black': 104.0, 'poupa99': 48.41}"
1183271,-22.059.227.699.999.900,-47.918.276.899.999.900,-219.792.596,-4.792.974.659.999.990,22.44,"{'Uber Flash': 19.0, 'UberX': 19.0, 'Comfort': 27.5, 'turbo-taxi': 63.04, 'regular-taxi': 63.04, 'pop99': 32.09}"
1183272,-234.473.108,-465.833.731,-235.701.663,-464.468.751,37.45,"{'Uber Promo': 84.0, 'UberX': 98.0, 'Comfort': 134.5, 'Flash': 92.5, 'Black': 118.0, 'Bag': 129.0, 'pop99': 79.24, 'turbo-taxi': 130.78, 'regular-taxi': 130.78, 'poupa99': 71.84}"
1183273,-233.871.854,-464.040.178,-234.573.822,-4.646.120.449.999.990,16.55,"{'poupa99': 33.14, 'pop99': 41.01, 'turbo-taxi': 84.54, 'regular-taxi': 84.54, 'Flash': 32.5, 'UberX': 32.5}"
1183274,-239.624.233,-4.625.465.759.999.990,-238.373.074,-461.321.725,33.96,"{'Flash': 47.5, 'Comfort': 68.5, 'pop99': 64.16, 'turbo-taxi': 111.96, 'regular-taxi': 140.18, 'UberX': 47.5}"
1183275,-129.028.949,-38.395.140.999.999.900,-128.986.892,-383.329.429,9.65,"{'poupa99': 17.51, 'turbo-taxi': 33.33, 'regular-taxi': 37.03, 'Flash Moto': 17.0, 'UberX': 25.0, 'Comfort': 34.0, 'UberFlash': 25.0, 'pop99': 17.51}"
1183276,-268.985.879,-49.069.729.599.999.900,-268.637.139,-4.909.252.409.999.990,12.5,"{'Uber Flash': 25.0, 'Comfort': 37.5, 'poupa99': 37.99, 'pop99': 37.99, 'turbo-taxi': 48.59, 'regular-taxi': 48.59, 'UberX': 25.0}"
1183277,-199.690.694,-43.973.675,-199.847.608,-438.465.256,18.92,"{'UberX': 44.0, 'Comfort': 44.0, 'UberFlash': 44.0, 'Black': 70.0, 'poupa99': 33.37, 'turbo-taxi': 78.49, 'regular-taxi': 78.49, 'pop99': 33.37}"
1183278,-239.543.517,-46.458.881.399.999.900,-239.586.711,-463.333.859,28.4,"{'Flash': 60.0, 'Comfort': 70.5, 'UberX': 60.0, 'poupa99': 44.18, 'turbo-taxi': 104.81, 'regular-taxi': 104.81, 'pop99': 44.18}"
1183279,-236.098.049,-464.539.524,-236.018.668,-466.934.316,34.58,"{'pop99': 101.25, 'turbo-taxi': 171.67, 'regular-taxi': 171.67, 'Uber Promo': 99.5, 'UberX': 114.5, 'Comfort': 148.0, 'Flash': 106.0, 'Bag': 147.0, 'poupa99': 91.62}"
1183280,-22.728.721,-43.447.175,-228.371.489,-432.738.342,26.72,"{'poupa99': 42.89, 'pop99': 47.71, 'turbo-taxi': 98.59, 'regular-taxi': 98.59, 'Comfort': 65.0, 'UberFlash': 41.0, 'Black': 84.0, 'UberX': 41.0}"
1183281,-234.473.512,-46.583.365.699.999.900,-235.701.663,-464.468.751,29.72,"{'poupa99': 71.84, 'pop99': 79.24, 'turbo-taxi': 130.78, 'regular-taxi': 130.78, 'UberX': 104.0, 'Comfort': 143.0, 'Flash': 98.5, 'Black': 118.5, 'Bag': 137.5, 'Uber Promo': 89.5}"
1183282,-268.985.879,-49.069.729.599.999.900,-268.637.139,-4.909.252.409.999.990,12.5,"{'UberX': 23.0, 'Uber Flash': 23.0, 'poupa99': 37.21, 'turbo-taxi': 48.12, 'regular-taxi': 48.12, 'pop99': 37.21}"
1183283,-22.849.937.399.999.900,-423.272.556,-228.427.205,-420.694.384,55.63,"{'Uber Flash': 58.0, 'UberX': 64.0, 'pop99': 70.39, 'comfort99': 82.49, 'poupa99': 60.52}"
1183284,-203.487.032,-403.331.874,-204.251.971,-403.304.877,10.03,"{'turbo-taxi': 35.01, 'regular-taxi': 38.89, 'Flash': 15.0, 'UberX': 15.0, 'Comfort': 22.5, 'pop99': 13.99}"
1183285,-232.752.969,-458.944.816,-231.801.212,-458.661.459,16.72,"{'turbo-taxi': 66.45, 'regular-taxi': 66.45, 'Flash': 36.5, 'Flash Moto': 18.0, 'UberX': 36.5, 'Comfort': 38.5, 'pop99': 22.79}"
1183286,-268.393.767,-49.089.650.299.999.900,-268.218.002,-490.886.955,2.2,"{'Uber Flash': 6.5, 'Comfort': 9.0, 'poupa99': 23.76, 'pop99': 23.76, 'turbo-taxi': 16.16, 'regular-taxi': 16.16, 'UberX': 6.5}"
1183287,-29.717.003.599.999.900,-511.583.434,-297.301.916,-511.472.268,03.04,"{'UberFlash': 8.5, 'UberX': 8.5, 'Comfort': 11.5, 'Black': 17.5, 'poupa99': 7.99, 'regular-taxi': 20.66, 'pop99': 7.99}"
1183288,-199.690.932,-439.737.894,-199.847.608,-438.465.256,18.91,"{'poupa99': 33.37, 'pop99': 33.37, 'turbo-taxi': 78.49, 'regular-taxi': 78.49, 'UberX': 44.0, 'UberFlash': 44.0, 'Black': 70.0, 'Comfort': 44.0}"
1183289,-155.437.476,-560.729.453,-156.390.474,-561.692.028,20.22,"{'Flash': 30.5, 'Comfort': 53.5, 'pop99': 41.88, 'turbo-taxi': 87.48, 'regular-taxi': 87.48, 'UberX': 30.5}"
1183290,185.829,-510.783.359,-43.938,-5.108.046.960.000.000,4.92,"{'poupa99': 10.2, 'pop99': 10.2, 'turbo-taxi': 20.89, 'regular-taxi': 23.21, 'Uber Flash': 11.5, 'UberX': 9.5}"
1183291,-255.388.302,-492.419.242,-255.506.178,-493.129.048,11.01,"{'turbo-taxi': 32.15, 'regular-taxi': 40.19, 'Flash': 23.0, 'UberX': 23.0, 'Comfort': 26.5, 'pop99': 22.41}"
1183292,-201.784.446,-402.579.032,-202.566.243,-402.642.525,11.88,"{'pop99': 21.27, 'turbo-taxi': 38.77, 'regular-taxi': 43.07, 'Flash': 19.0, 'Comfort': 29.5, 'UberX': 19.0}"
1183293,-268.823.014,-486.973.627,-26.912.477,-48.689.683,4.42,"{'poupa99': 11.87, 'pop99': 13.63, 'turbo-taxi': 35.33, 'regular-taxi': 35.33, 'Uber Flash': 11.5, 'Comfort': 13.5, 'UberX': 11.5}"
1183294,-299.277.561,-510.127.844,-299.355.365,-5.104.117.609.999.990,3.79,"{'UberFlash': 8.5, 'Comfort': 12.5, 'Black': 20.0, 'pop99': 9.87, 'regular-taxi': 22.54, 'UberX': 8.5}"
1183295,-239.624.233,-4.625.465.759.999.990,-238.373.074,-461.321.725,33.96,"{'turbo-taxi': 112.33, 'regular-taxi': 140.59, 'Flash': 47.5, 'Comfort': 68.5, 'UberX': 47.5, 'pop99': 64.28}"
1183297,-19.953.658,-43.964.077,-199.589.853,-439.873.273,4.27,"{'pop99': 12.81, 'turbo-taxi': 23.86, 'regular-taxi': 23.86, 'UberX': 14.0, 'Comfort': 14.5, 'UberFlash': 14.0, 'Black': 20.0, 'poupa99': 11.28}"
1183298,-22.810.214,-43.403.851.499.999.900,-229.221.399,-432.493.486,35.49,"{'poupa99': 48.3, 'pop99': 53.7, 'turbo-taxi': 114.25, 'regular-taxi': 98.62, 'Comfort': 82.0, 'UberFlash': 51.5, 'Black': 104.0, 'UberX': 51.5}"
1183299,-239.624.233,-4.625.465.759.999.990,-238.373.074,-461.321.725,33.96,"{'pop99': 64.28, 'turbo-taxi': 112.33, 'regular-taxi': 140.59, 'Flash': 47.5, 'Comfort': 68.5, 'UberX': 47.5}"
1183300,-228.343.556,-434.127.084,-229.973.007,-433.625.245,29.68,"{'poupa99': 70.21, 'turbo-taxi': 106.34, 'regular-taxi': 106.34, 'UberX': 47.5, 'Comfort': 78.5, 'UberFlash': 47.5, 'Black': 98.0, 'pop99': 70.21}"
1183301,-2.762.603.439.999.990,-486.588.022,-276.346.435,-4.866.431.420.000.000,1.27,"{'poupa99': 7.35, 'regular-taxi': 10.11, 'Flash': 8.5, 'Comfort': 8.5, 'UberX': 8.5, 'pop99': 7.35}"
1183302,-221.369.846,-5.140.281.629.999.990,-221.316.724,-5.139.099.040.000.000,1.85,"{'poupa99': 6.47, 'turbo-taxi': 17.5, 'regular-taxi': 15.99, 'UberX': 6.5, 'Uber Flash': 6.5, 'pop99': 6.47}"
1183303,-2.688.430.799.999.990,-4.922.681.199.999.990,-2.686.240.879.999.990,-490.871.789,20.63,"{'Uber Flash': 35.5, 'pop99': 47.24, 'UberX': 35.5}"
1183304,-236.791.749,-46.669.339.699.999.900,-2.359.719.999.999.990,-467.814.184,26.09,"{'UberX': 39.0, 'Comfort': 72.0, 'Flash': 35.5, 'Black': 89.0, 'Bag': 51.5, 'pop99': 54.05, 'turbo-taxi': 106.34, 'top99': 106.34, 'regular-taxi': 106.34, 'Uber Promo': 34.0}"
1183305,-269.331.775,-486.488.546,-269.131.424,-48.689.696,7.28,"{'Uber Flash': 22.0, 'UberX': 22.0, 'Comfort': 24.5, 'pop99': 15.28, 'turbo-taxi': 51.31, 'regular-taxi': 51.31, 'poupa99': 12.69}"
1183306,-22.810.214,-43.403.851.499.999.900,-229.221.399,-432.493.486,35.49,"{'pop99': 54.17, 'turbo-taxi': 118.01, 'regular-taxi': 98.97, 'UberX': 56.5, 'Comfort': 90.0, 'UberFlash': 56.5, 'Black': 104.0, 'poupa99': 48.77}"
1183307,-237.764.283,-466.948.362,-236.793.193,-466.750.793,15.62,"{'poupa99': 40.72, 'pop99': 40.72, 'turbo-taxi': 73.44, 'regular-taxi': 73.44, 'UberX': 44.0, 'Comfort': 65.0, 'Flash': 42.0, 'Black': 60.0, 'Bag': 60.5, 'Uber Promo': 38.0}"
1183308,-25.394.125,-443.329.816,-24.996.757,-442.295.325,20.14,"{'Flash': 36.5, 'UberX': 36.5, 'turbo-taxi': 68.85, 'regular-taxi': 76.49, 'pop99': 31.02}"
1183309,-197.480.486,-440.688.729,-198.011.169,-440.252.647,12.46,"{'UberX': 26.5, 'UberFlash': 26.5, 'poupa99': 18.69, 'turbo-taxi': 39.72, 'regular-taxi': 39.72, 'pop99': 18.69}"
